2025-06-30 11:34:43 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('4EHR03WH', 't', '6', 'g', '1', '1', 't', 1, NOW())
2025-06-30 11:34:55 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('4EHR03WH', 't', '6', 'g', '1', '1', 't', 1, NOW())
2025-07-01 04:39:21 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('4EHR03WH', 'iii', '3', 'h', '4', '26', 'ii', 1, NOW())
2025-07-01 04:40:09 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('4EHR03WH', 'iii', '3', 'h', '4', '26', 'ii', 1, NOW())
2025-07-01 04:44:27 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('06167617', 'mcb', '25', 'ampere ', '1', '8', 'iii', 1, NOW())
2025-07-01 04:44:43 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('06167617', 'mcb', '25', 'ampere ', '1', '8', 'iii', 1, NOW())
2025-07-01 04:49:38 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('06167617', 'mcb', '25', 'ampere ', '1', '8', 'iii', 1, NOW())
2025-07-01 04:52:35 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('06167617', 'mcb', '25', 'ampere ', '1', '8', 'iii', 1, NOW())
2025-07-01 04:53:07 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('06167617', 'mcb', '25', 'ampere ', '1', '8', 'iii', 1, NOW())
2025-07-01 05:36:05 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('4EHR03WH', 'Aku', '12', 'pcs', '1', '6', 'ada ', 1, NOW())
2025-07-01 05:36:20 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('4EHR03WH', 'Aku', '12', 'pcs', '1', '6', 'ada ', 1, NOW())
2025-07-01 05:36:38 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('4EHR03WH', 'Aku', '12', 'pcs', '1', '6', 'ada ', 1, NOW())
2025-07-01 05:42:36 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('4EHR03WH', 'Ah u ', '22', 'pcs', '1', '6', 'oke', 1, NOW())
2025-07-01 06:16:56 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('4EHR03WH', 'Apaa', '22', 'pcs', '1', '6', 'oke', 1, NOW())
2025-07-01 06:18:56 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('P25042201P03002348', 'box', '36', 'pcs', '2', '10', 'ada', 1, NOW())
2025-07-01 06:21:14 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('PLN0219000050202586290050837', 'mccccb', '25', 'ampere ', '3', '22', 'ada bos', 1, NOW())
2025-07-02 07:06:02 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('PLN0219000050202586290066163', 'MCB', '20', 'Amper', '2', '10', 'Ada', 1, NOW())
2025-07-02 08:24:20 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('PLN0219000050202586290066205', 'yy', '25', 'p', '3', '18', 'ii', 1, NOW())
2025-07-03 05:55:53 | SQL: INSERT INTO barang (serial_number, nama_barang, jumlah, satuan, rak, peti, catatan, status, waktu_masuk)
          VALUES ('1030075', 'TRF DIS;D3;20kV/400V;3P;160kVA;YZN5;OD', '25', 'amper', '4', '26', 'ada', 1, NOW())
